Flat No.,Area in Sqrt,No.of Bhk,Location,Price
1720,3302,3,"Sector 108, Noida", 2.8 Cr
1721,3312,3,"Sector 108, Noida", 2.81 Cr
1722,3312,3,"Sector 108, Noida", 2.81 Cr
1723,3996,4,"Sector 108, Noida", 3.39 Cr
1724,3996,4,"Sector 108, Noida", 3.39 Cr
1725,3000,4,"Sector 107, Noida", 2.97 Cr
1726,3000,4,"Sector 107, Noida", 2.97 Cr
1727,3000,4,"Sector 107, Noida", 2.97 Cr
1728,3000,4,"Sector 107, Noida", 2.97 Cr
1729,3720,4,"Sector 107, Noida", 3.68 Cr
1730,3720,4,"Sector 107, Noida", 3.68 Cr
1731,2500,3,"Sector 107, Noida", 2.47 Cr
1732,2500,3,"Sector 107, Noida", 2.47 Cr
1733,2970,4,"Sector 107, Noida", 2.94 Cr
1734,2970,4,"Sector 107, Noida", 2.94 Cr
1735,2575,3,"Sector 107, Noida", 2.54 Cr
1736,2575,3,"Sector 107, Noida", 2.54 Cr
1737,3550,4,"Sector 107, Noida", 3.51 Cr
1738,3550,4,"Sector 107, Noida", 3.51 Cr
1739,6250,5,"Sector 128, Noida", 7.65 Cr
1740,3000,4,"Sector 107, Noida", 2.97 Cr
1741,3000,4,"Sector 107, Noida", 2.97 Cr
1742,3000,4,"Sector 107, Noida", 2.97 Cr
1743,3720,4,"Sector 107, Noida", 3.68 Cr
1744,3720,4,"Sector 107, Noida", 3.68 Cr
1745,2500,3,"Sector 107, Noida", 2.47 Cr
1746,2500,3,"Sector 107, Noida", 2.47 Cr
1747,2970,4,"Sector 107, Noida", 2.94 Cr
1748,2970,4,"Sector 107, Noida", 2.94 Cr
1749,2575,3,"Sector 107, Noida", 2.54 Cr
1750,2575,3,"Sector 107, Noida", 2.54 Cr
1751,3550,4,"Sector 107, Noida", 3.51 Cr
1752,3550,4,"Sector 107, Noida", 3.51 Cr
1753,6250,5,"Sector 128, Noida", 7.65 Cr
1754,3465,4,"Sector 128, Noida", 4.24 Cr
1755,6250,5,"Sector 128, Noida", 7.65 Cr
1756,6250,5,"Sector 128, Noida", 7.65 Cr
1757,3465,4,"Sector 128, Noida", 4.24 Cr
1758,3465,4,"Sector 128, Noida", 4.24 Cr
1759,3325,4,"Sector 128, Noida", 4.07 Cr
1760,2100,4,"Sector 128, Noida", 4.78 Cr
1761,1630,3,"Sector 128, Noida", 3.72 Cr
1762,1630,3,"Sector 128, Noida", 3.72 Cr
1763,4874,4,"Sector 108, Noida", 4.14 Cr
1764,4874,4,"Sector 108, Noida", 4.14 Cr
1765,4874,4,"Sector 108, Noida", 4.14 Cr
1766,4874,4,"Sector 108, Noida", 4.14 Cr
1767,3302,3,"Sector 108, Noida", 2.8 Cr
1768,3302,3,"Sector 108, Noida", 2.8 Cr
1769,3312,3,"Sector 108, Noida", 2.81 Cr
1770,3312,3,"Sector 108, Noida", 2.81 Cr
1771,3996,4,"Sector 108, Noida", 3.39 Cr
1772,3996,4,"Sector 108, Noida", 3.39 Cr
1773,3525,4,"Sector 78, Noida", 4.23 Cr
1774,3070,3,"Sector 78, Noida", 3.68 Cr
1775,3070,3,"Sector 78, Noida", 3.68 Cr
1776,3525,4,"Sector 78, Noida", 4.23 Cr
1777,3525,4,"Sector 78, Noida", 4.23 Cr
1778,3070,3,"Sector 78, Noida", 3.68 Cr
1779,3070,3,"Sector 78, Noida", 3.68 Cr
1780,3020,3,"Sector 78, Noida", 3.62 Cr
1781,3020,3,"Sector 78, Noida", 3.62 Cr
1782,3475,3,"Sector 78, Noida", 4.17 Cr
1783,3475,3,"Sector 78, Noida", 4.17 Cr
1784,2500,3,"Sector 78, Noida", 3 Cr
1785,2500,3,"Sector 78, Noida", 3 Cr
1786,3775,5,"Sector 78, Noida", 4.53 Cr
1787,3775,5,"Sector 78, Noida", 4.53 Cr
1788,3370,4,"Sector 78, Noida", 4.04 Cr
1789,3370,4,"Sector 78, Noida", 4.04 Cr
1790,3430,4,"Sector 78, Noida", 4.11 Cr
1791,3430,4,"Sector 78, Noida", 4.11 Cr
1792,4425,4,"Sector 78, Noida", 5.31 Cr
1793,4425,4,"Sector 78, Noida", 5.31 Cr
1794,3501,4,"Sector 107, Noida", 3.67 Cr
1795,4482,4,"Sector 107, Noida", 4.7 Cr
1796,6570,5,"Sector 107, Noida", 6.89 Cr
1797,4500,9,"Sector 50, Noida", 9 Cr
1798,1900,5,"Sector 122, Noida", 1.9 Cr
1799,1525,3,"Sector 75, Noida", 1 Cr
1800,1355,3,"Sector 144, Noida", 91 L
1801,7500,8,"Sector 50, Noida", 3.5 Cr
1802,3000,4,"Sector 107, Noida", 3.15 Cr
1803,3000,4,"Sector 107, Noida", 3.15 Cr
1804,3720,4,"Sector 107, Noida", 3.9 Cr
1805,3720,4,"Sector 107, Noida", 3.9 Cr
1806,3000,4,"Sector 107, Noida", 3.15 Cr
1807,3000,4,"Sector 107, Noida", 3.15 Cr
1808,3720,4,"Sector 107, Noida", 3.9 Cr
1809,3720,4,"Sector 107, Noida", 3.9 Cr
1810,2500,3,"Sector 107, Noida", 2.62 Cr
1811,2500,3,"Sector 107, Noida", 2.62 Cr
1812,2970,4,"Sector 107, Noida", 3.11 Cr
1813,2970,4,"Sector 107, Noida", 3.11 Cr
1814,2575,3,"Sector 107, Noida", 2.7 Cr
1815,2575,3,"Sector 107, Noida", 2.7 Cr
1816,3550,4,"Sector 107, Noida", 3.72 Cr
1817,3550,4,"Sector 107, Noida", 3.72 Cr
1818,1248,3,"Sector 43, Noida", 3.34 Cr
1819,1345,3,"Sector 43, Noida", 3.71 Cr
1820,1165,2,"Sector 150, Noida", 89.7 L
1821,1165,2,"Sector 150, Noida", 89.7 L
1822,1690,3,"Sector 150, Noida", 1.33 Cr
1823,1690,3,"Sector 150, Noida", 1.33 Cr
1824,1165,2,"Sector 150, Noida", 89.7 L
1825,1625,3,"Sector 150, Noida", 1.28 Cr
1826,1690,3,"Sector 150, Noida", 1.33 Cr
1827,1495,3,"Sector 150, Noida", 1.18 Cr
1828,1625,3,"Sector 150, Noida", 1.28 Cr
1829,1495,3,"Sector 150, Noida", 1.18 Cr
1830,1245,2,"Sector 150, Noida", 95.86 L
1831,3000,4,"Sector 107, Noida", 3.15 Cr
1832,3000,4,"Sector 107, Noida", 3.15 Cr
1833,3720,4,"Sector 107, Noida", 3.9 Cr
1834,3720,4,"Sector 107, Noida", 3.9 Cr
1835,3000,4,"Sector 107, Noida", 3.15 Cr
1836,3000,4,"Sector 107, Noida", 3.15 Cr
1837,3720,4,"Sector 107, Noida", 3.9 Cr
1838,3720,4,"Sector 107, Noida", 3.9 Cr
1839,2500,3,"Sector 107, Noida", 2.62 Cr
1840,2122,4,"Sector 128, Noida", 4.31 Cr
1841,2122,4,"Sector 128, Noida", 4.31 Cr
1842,2105,4,"Sector 128, Noida", 4.5 Cr
1843,2105,4,"Sector 128, Noida", 4.5 Cr
1844,2100,4,"Sector 128, Noida", 4.28 Cr
1845,2100,4,"Sector 128, Noida", 4.28 Cr
1846,1630,3,"Sector 128, Noida", 3.34 Cr
1847,1630,3,"Sector 128, Noida", 3.34 Cr
1848,3198,4,"Sector 150, Noida", 3 Cr
1849,1305,2,"Sector 150, Noida", 1.15 Cr
1850,3198,4,"Sector 150, Noida", 3 Cr
1851,1305,2,"Sector 150, Noida", 1.15 Cr
1852,3198,4,"Sector 150, Noida", 3 Cr
1853,1305,2,"Sector 150, Noida", 1.15 Cr
1854,2440,3,"Sector 150, Noida", 2.75 Cr
1855,2440,3,"Sector 150, Noida", 2.75 Cr
1856,3165,3,"Sector 150, Noida", 2.3 Cr
1857,3165,3,"Sector 150, Noida", 2.3 Cr
1858,1947,3,"Sector 150, Noida", 1.85 Cr
1859,1947,3,"Sector 150, Noida", 1.85 Cr
1860,1848,4,"Sector 43, Noida", 4.39 Cr
1861,1608,3,"Sector 128, Noida", 3.29 Cr
1862,1608,3,"Sector 128, Noida", 3.29 Cr
1863,2126,4,"Sector 128, Noida", 4.54 Cr
1864,2126,4,"Sector 128, Noida", 4.54 Cr
1865,1608,3,"Sector 128, Noida", 3.29 Cr
1866,1608,3,"Sector 128, Noida", 3.29 Cr
1867,2126,4,"Sector 128, Noida", 4.54 Cr
1868,2126,4,"Sector 128, Noida", 4.54 Cr
1869,2122,4,"Sector 128, Noida", 4.31 Cr
1870,2122,4,"Sector 128, Noida", 4.31 Cr
1871,2105,4,"Sector 128, Noida", 4.5 Cr
1872,2105,4,"Sector 128, Noida", 4.5 Cr
1873,2100,4,"Sector 128, Noida", 4.28 Cr
1874,2100,4,"Sector 128, Noida", 4.28 Cr
1875,1630,3,"Sector 128, Noida", 3.34 Cr
1876,1630,3,"Sector 128, Noida", 3.34 Cr
1877,2697,4,"Sector 150, Noida", 2.15 Cr
1878,6250,5,"Sector 128, Noida", 7.65 Cr
1879,6250,5,"Sector 128, Noida", 7.65 Cr
1880,3465,4,"Sector 128, Noida", 4.24 Cr
1881,3465,4,"Sector 128, Noida", 4.24 Cr
1882,3325,4,"Sector 128, Noida", 4.07 Cr
1883,3325,4,"Sector 128, Noida", 4.07 Cr
1884,3775,4,"Sector 128, Noida", 4.62 Cr
1885,3775,4,"Sector 128, Noida", 4.62 Cr
1886,3575,4,"Sector 128, Noida", 4.37 Cr
1887,3575,4,"Sector 128, Noida", 4.37 Cr
1888,6100,5,"Sector 128, Noida", 7.47 Cr
1889,6100,5,"Sector 128, Noida", 7.47 Cr
1890,5550,4,"Sector 128, Noida", 6.79 Cr
1891,5550,4,"Sector 128, Noida", 6.79 Cr
1892,2700,3,"Sector 128, Noida", 3.03 Cr
1893,2700,3,"Sector 128, Noida", 3.03 Cr
1894,2850,3,"Sector 128, Noida", 3.2 Cr
1895,2850,3,"Sector 128, Noida", 3.2 Cr
1896,5900,5,"Sector 128, Noida", 7.22 Cr
1897,5900,5,"Sector 128, Noida", 7.22 Cr
1898,1285,3,"Sector 150, Noida", 1.04 Cr
1899,2062,3,"Sector 150, Noida", 2.09 Cr
1900,3995,4,"Sector 108, Noida", 4.19 Cr
1901,1404,3,"Sector 150, Noida", 1.09 Cr
1902,1404,3,"Sector 150, Noida", 1.09 Cr
1903,1155,2,"Sector 150, Noida", 88.68 L
1904,1155,2,"Sector 150, Noida", 88.68 L
1905,1137,2,"Sector 150, Noida", 86 L
1906,1137,2,"Sector 150, Noida", 86 L
1907,3000,4,"Sector 107, Noida", 2.97 Cr
1908,3000,4,"Sector 107, Noida", 2.97 Cr
1909,3000,4,"Sector 107, Noida", 2.97 Cr
1910,3000,4,"Sector 107, Noida", 2.97 Cr
1911,3720,4,"Sector 107, Noida", 3.68 Cr
1912,3720,4,"Sector 107, Noida", 3.68 Cr
1913,2500,3,"Sector 107, Noida", 2.47 Cr
1914,2500,3,"Sector 107, Noida", 2.47 Cr
1915,2970,4,"Sector 107, Noida", 2.94 Cr
1916,2970,4,"Sector 107, Noida", 2.94 Cr
1917,2575,3,"Sector 107, Noida", 2.54 Cr
1918,2575,3,"Sector 107, Noida", 2.54 Cr
1919,3550,4,"Sector 107, Noida", 3.51 Cr
1920,3550,4,"Sector 107, Noida", 3.51 Cr
1921,1340,3,"Sector 143, Noida", 84.94 L
1922,1340,3,"Sector 143, Noida", 84.94 L
1923,1695,3,"Sector 143, Noida", 1.07 Cr
1924,1695,3,"Sector 143, Noida", 1.07 Cr
1925,1340,3,"Sector 143, Noida", 84.94 L
1926,1340,3,"Sector 143, Noida", 84.94 L
1927,1695,3,"Sector 143, Noida", 1.07 Cr
1928,1695,3,"Sector 143, Noida", 1.07 Cr
1929,1315,2,"Sector 143, Noida", 88.78 L
1930,1315,2,"Sector 143, Noida", 88.78 L
1931,1995,3,"Sector 143, Noida", 1.31 Cr
1932,1995,3,"Sector 143, Noida", 1.31 Cr
1933,1380,2,"Sector 143, Noida", 94.3 L
1934,1380,2,"Sector 143, Noida", 94.3 L
1935,1356,2,"Sector 143, Noida", 85.95 L
1936,1356,2,"Sector 143, Noida", 85.95 L
1937,1495,3,"Sector 143, Noida", 96 L
1938,1495,3,"Sector 143, Noida", 96 L
1939,1700,3,"Sector 143, Noida", 1.17 Cr
1940,1700,3,"Sector 143, Noida", 1.17 Cr
1941,495,1,"Sector 137, Noida", 30 L
1942,3000,4,"Sector 107, Noida", 2.97 Cr
1943,3000,4,"Sector 107, Noida", 2.97 Cr
1944,3720,4,"Sector 107, Noida", 3.68 Cr
1945,3720,4,"Sector 107, Noida", 3.68 Cr
1946,2500,3,"Sector 107, Noida", 2.47 Cr
1947,2500,3,"Sector 107, Noida", 2.47 Cr
1948,2970,4,"Sector 107, Noida", 2.94 Cr
1949,2970,4,"Sector 107, Noida", 2.94 Cr
1950,2575,3,"Sector 107, Noida", 2.54 Cr
1951,2575,3,"Sector 107, Noida", 2.54 Cr
