Flat No.,Area in Sqrt,No.of Bhk,Location,Price
2094,3198,4,"Sector 150, Noida", 3 Cr
2095,3198,4,"Sector 150, Noida", 3 Cr
2096,1305,2,"Sector 150, Noida", 1.15 Cr
2097,1305,2,"Sector 150, Noida", 1.15 Cr
2098,2440,3,"Sector 150, Noida", 2.75 Cr
2099,2440,3,"Sector 150, Noida", 2.75 Cr
2100,3165,3,"Sector 150, Noida", 2.3 Cr
2101,3165,3,"Sector 150, Noida", 2.3 Cr
2102,1947,3,"Sector 150, Noida", 1.85 Cr
2103,1947,3,"Sector 150, Noida", 1.85 Cr
2104,3963,4,"Sector 150, Noida", 3.5 Cr
2105,3963,4,"Sector 150, Noida", 3.5 Cr
2106,1558,2,"Sector 150, Noida", 1.37 Cr
2107,1558,2,"Sector 150, Noida", 1.37 Cr
2108,1628,2,"Sector 150, Noida", 1.25 Cr
2109,1628,2,"Sector 150, Noida", 1.25 Cr
2110,1404,3,"Sector 150, Noida", 1.09 Cr
2111,1404,3,"Sector 150, Noida", 1.09 Cr
2112,1404,3,"Sector 150, Noida", 1.09 Cr
2113,1404,3,"Sector 150, Noida", 1.09 Cr
2114,1155,2,"Sector 150, Noida", 88.68 L
2115,1155,2,"Sector 150, Noida", 88.68 L
2116,1137,2,"Sector 150, Noida", 86 L
2117,1137,2,"Sector 150, Noida", 86 L
2118,2050,4,"Sector 150, Noida", 1.98 Cr
2119,2050,4,"Sector 150, Noida", 1.98 Cr
2120,1430,3,"Sector 150, Noida", 1.5 Cr
2121,1430,3,"Sector 150, Noida", 1.5 Cr
2122,2050,4,"Sector 150, Noida", 1.98 Cr
2123,2050,4,"Sector 150, Noida", 1.98 Cr
2124,1430,3,"Sector 150, Noida", 1.5 Cr
2125,1430,3,"Sector 150, Noida", 1.5 Cr
2126,1675,3,"Sector 150, Noida", 1.06 Cr
2127,1675,3,"Sector 150, Noida", 1.06 Cr
2128,1675,3,"Sector 150, Noida", 1.06 Cr
2129,1675,3,"Sector 150, Noida", 1.06 Cr
2130,945,2,"Sector 50, Noida", 32.2 L
2131,600,1,"Sector 49, Noida", 20.5 L
2132,600,1,"Sector 49, Noida", 20.5 L
2133,1350,3,"Sector 49, Noida", 42 L
2134,1000,2,"Sector 49, Noida", 30 L
2135,1050,2,"Sector 73, Noida", 25.5 L
2136,2555,3,"Sector 150, Noida", 1.34 Cr
2137,2040,3,"Sector 150, Noida", 1.07 Cr
2138,3355,4,"Sector 150, Noida", 1.89 Cr
2139,1700,3,"Sector 150, Noida", 84.15 L
2140,2250,3,"Sector 150, Noida", 1.26 Cr
2141,3200,4,"Sector 150, Noida", 1.71 Cr
2142,2000,3,"Sector 150, Noida", 1.07 Cr
2143,2300,3,"Sector 150, Noida", 1.23 Cr
2144,1625,3,"Sector 150, Noida", 86.93 L
2145,3198,4,"Sector 150, Noida", 1.99 Cr
2146,1305,2,"Sector 150, Noida", 84 L
2147,3165,3,"Sector 150, Noida", 1.54 Cr
2148,2440,3,"Sector 150, Noida", 1.51 Cr
2149,1947,3,"Sector 150, Noida", 1.19 Cr
2150,3963,4,"Sector 150, Noida", 2.09 Cr
2151,1558,2,"Sector 150, Noida", 97 L
2152,1628,2,"Sector 150, Noida", 1.06 Cr
2153,1264,2,"Sector 150, Noida", 81.99 L
2154,2095,3,"Sector 150, Noida", 1.29 Cr
2155,1675,3,"Sector 150, Noida", 1.03 Cr
2156,1574,4,"Sector 19 Yamuna Expressway, Noida", 1.05 Cr
2157,1350,3,"Sector 49, Noida", 40 L
2158,1100,2,"Sector 150, Noida", 88 L
2159,1285,3,"Sector 150, Noida", 1 Cr
2160,1500,3,"Sector 44, Noida", 48 L
2161,950,2,"Sector 44, Noida", 28.5 L
2162,1100,2,"Sector 44, Noida", 35 L
2163,950,2,"Sector 44, Noida", 29.5 L
2164,950,2,"Sector 44, Noida", 30 L
2165,550,1,"Sector 44, Noida", 18 L
2166,950,2,"Sector 44, Noida", 28 L
2167,1800,4,"Sector 49, Noida", 62 L
2168,1450,3,"Sector 49, Noida", 48 L
2169,1050,2,"Sector 49, Noida", 38 L
2170,1050,2,"Sector 49, Noida", 38 L
2171,550,1,"Sector 49, Noida", 18.55 L
2172,900,2,"Sector 49, Noida", 25 L
2173,958,2,"Sector 49, Noida", 30.65 L
2174,1350,3,"Sector 49, Noida", 40 L
2175,900,2,"Sector 49, Noida", 27 L
2176,1000,2,"Sector 49, Noida", 28.8 L
2177,950,2,"Sector 44, Noida", 30 L
2178,950,2,"Sector 44, Noida", 30 L
2179,2000,4,"Sector 49, Noida", 75 L
2180,2200,3,"Sector 137, Noida", 2.15 Cr
2181,2950,3,"Sector 128, Noida", 3.55 Cr
2182,750,1,"Sector 121, Noida", 18 L
2183,1130,3,"Sector 150, Noida", 39.8 L
2184,890,2,"Sector 150, Noida", 1.36 Cr
2185,890,2,"Sector 150, Noida", 1.36 Cr
2186,1322,3,"Sector 150, Noida", 2.05 Cr
2187,1322,3,"Sector 150, Noida", 2.05 Cr
2188,1794,3,"Sector 150, Noida", 2.79 Cr
2189,1794,3,"Sector 150, Noida", 2.79 Cr
2190,849,2,"Sector 150, Noida", 1.3 Cr
2191,849,2,"Sector 150, Noida", 1.3 Cr
2192,1400,3,"Sector 41, Noida", 42 L
2193,600,1,"Sector 44, Noida", 22 L
2194,1615,3,"Sector 150, Noida", 1.25 Cr
2195,925,2,"Sector 121, Noida", 24.99 L
2196,925,2,"Sector 121, Noida", 24.99 L
2197,925,2,"Sector 121, Noida", 24.99 L
2198,925,2,"Sector 121, Noida", 24.99 L
2199,925,2,"Sector 121, Noida", 24.99 L
2200,1400,3,"Sector 44, Noida", 48 L
2201,950,2,"Sector 37, Noida", 25 L
2202,1800,4,"Sector 51, Noida", 70 L
2203,1400,3,"Sector 37, Noida", 42 L
2204,1100,2,"Sector 37, Noida", 32 L
2205,1000,2,"Sector 37, Noida", 28 L
2206,1350,3,"Sector 37, Noida", 40 L
2207,960,2,"Sector 45, Noida", 31.25 L
2208,960,2,"Sector 45, Noida", 31.25 L
2209,1150,3,"Sector 121, Noida", 31.9 L
2210,2175,3,"Sector 36, Noida", 3.35 Cr
2211,1580,3,"Sector 44, Noida", 95 L
2212,2350,3,"Sector 152, Noida", 1.5 Cr
2213,2105,3,"Sector 78, Noida", 1 Cr
2214,780,2,"Sector 104, Noida", 28.1 L
2215,1300,3,"Sector 73, Noida", 47.2 L
2216,1000,2,"Sector 104, Noida", 36 L
2217,1300,3,"Sector 104, Noida", 46.8 L
2218,1000,2,"Sector 104, Noida", 36 L
2219,780,2,"Sector 104, Noida", 28.1 L
2220,780,2,"Sector 73, Noida", 28.15 L
2221,1375,3,"Sector 73, Noida", 46.86 L
2222,900,2,"Sector 45, Noida", 32.48 L
2223,1300,3,"Sector 45, Noida", 46.85 L
2224,1575,3,"Sector 76, Noida", 67.85 L
2225,500,1,"Sector 73, Noida", 14 L
2226,900,2,"Sector 104, Noida", 32.4 L
2227,925,2,"Sector 121, Noida", 24.99 L
2228,750,1,"Sector 121, Noida", 17.99 L
2229,1200,3,"Sector 121, Noida", 32 L
2230,700,1,"Sector 105, Noida", 19.5 L
2231,1000,2,"Sector 110, Noida", 30 L
2232,1000,2,"Sector 105, Noida", 30 L
2233,700,1,"Sector 105, Noida", 19 L
2234,3800,4,"Sector 107, Noida", 3.6 Cr
2235,1390,3,"Sector 44, Noida", 41.99 L
2236,1400,3,"Sector 34, Noida", 40 L
2237,950,2,"Sector 34, Noida", 30 L
2238,600,1,"Sector 41, Noida", 18 L
2239,600,1,"Sector 37, Noida", 18 L
2240,3000,5,"Sector 50, Noida", 85 L
2241,1350,3,"rho 2, Noida", 48.9 L
2242,1000,2,"rho 2, Noida", 28 L
2243,950,2,"Sector 50, Noida", 31.9 L
2244,2500,4,"Sector 50, Noida", 75 L
2245,2200,3,"Sector 18, Noida", 51 L
2246,1450,3,"Sector 41, Noida", 41.9 L
2247,4700,4,"Sector 144, Noida", 6 Cr
2248,1070,2,"Sector 137, Noida", 45 L
2249,975,2,"Sector 100, Noida", 27.78 L
2250,945,2,"Sector 49, Noida", 32.6 L
2251,3000,4,"Sector 107, Noida", 2.97 Cr
2252,3000,4,"Sector 107, Noida", 2.97 Cr
2253,3000,4,"Sector 107, Noida", 2.97 Cr
2254,3000,4,"Sector 107, Noida", 2.97 Cr
2255,3720,4,"Sector 107, Noida", 3.68 Cr
2256,3720,4,"Sector 107, Noida", 3.68 Cr
2257,2500,3,"Sector 107, Noida", 2.47 Cr
2258,2500,3,"Sector 107, Noida", 2.47 Cr
2259,2970,4,"Sector 107, Noida", 2.94 Cr
2260,2970,4,"Sector 107, Noida", 2.94 Cr
2261,2575,3,"Sector 107, Noida", 2.54 Cr
2262,2575,3,"Sector 107, Noida", 2.54 Cr
2263,3550,4,"Sector 107, Noida", 3.51 Cr
2264,3550,4,"Sector 107, Noida", 3.51 Cr
2265,1675,3,"Sector 150, Noida", 82.91 L
2266,1615,3,"Sector 150, Noida", 79.94 L
2267,1400,3,"Sector 150, Noida", 69.3 L
2268,1549,3,"Sector 150, Noida", 79 L
2269,1262,2,"Sector 150, Noida", 65 L
2270,3027,4,"Sector 150, Noida", 1.79 Cr
2271,2697,4,"Sector 150, Noida", 1.59 Cr
2272,2062,3,"Sector 150, Noida", 99 L
2273,2330,3,"Sector 150, Noida", 1.38 Cr
2274,1404,3,"Sector 150, Noida", 78.62 L
2275,1155,2,"Sector 150, Noida", 63 L
2276,1137,2,"Sector 150, Noida", 56.85 L
2277,2075,4,"Sector 143, Noida", 1.24 Cr
2278,1465,3,"Sector 143, Noida", 87.9 L
2279,950,2,"Sector 143, Noida", 57 L
2280,2500,3,"Sector 107, Noida", 2.7 Cr
2281,2201,4,"Sector 107, Noida", 3.6 Cr
2282,2170,3,"Sector 150, Noida", 1.21 Cr
2283,3540,4,"Sector 150, Noida", 2.26 Cr
2284,3400,4,"Sector 150, Noida", 1.76 Cr
2285,1000,2,"Sector 41, Noida", 30 L
2286,800,2,"Sector 73, Noida", 22 L
2287,2190,3,"Sector 150, Noida", 1.9 Cr
2288,6000,4,"Sector 94, Noida", 8.7 Cr
2289,1550,3,"Sector 78, Noida", 1.3 Cr
2290,1690,3,"Sector 77, Noida", 1.3 Cr
2291,1500,3,"Sector 75, Noida", 1.01 Cr
2292,2200,3,"Sector 22, Noida", 51 L
2293,950,2,"Sector 18, Noida", 25 L
2294,950,2,"Sector 93A, Noida", 20.45 L
2295,550,1,"Sector 93A, Noida", 14 L
2296,2400,3,"Sector 150, Noida", 1.56 Cr
2297,1075,3,"Sector 70, Noida", 34 L
2298,1500,3,"Sector 73, Noida", 34 L
2299,550,1,"Sector 73, Noida", 16.99 L
2300,910,2,"Sector 73, Noida", 25.99 L
2301,1690,3,"Sector 79, Noida", 1.32 Cr
2302,1095,2,"Sector 93A, Noida", 26.5 L
2303,460,2,"Urbainia Trinity Noida Extension Yakubpur Noida, Noida", 12.99 L
2304,1245,2,"Sector 79, Noida", 81.75 L
2305,2335,4,"Sector 79, Noida", 1.57 Cr
2306,1245,2,"Sector 79, Noida", 81.75 L
2307,1245,2,"Sector 79, Noida", 81.75 L
2308,2335,4,"Sector 79, Noida", 1.57 Cr
2309,2335,4,"Sector 79, Noida", 1.57 Cr
2310,1645,3,"Sector 79, Noida", 1.06 Cr
2311,1645,3,"Sector 79, Noida", 1.06 Cr
2312,2715,5,"Sector 79, Noida", 1.87 Cr
2313,2715,5,"Sector 79, Noida", 1.87 Cr
2314,1895,3,"Sector 79, Noida", 1.23 Cr
2315,1895,3,"Sector 79, Noida", 1.23 Cr
2316,1215,2,"Sector 79, Noida", 81.1 L
2317,1215,2,"Sector 79, Noida", 81.1 L
2318,1620,3,"Sector 79, Noida", 1.1 Cr
2319,1620,3,"Sector 79, Noida", 1.1 Cr
2320,1385,2,"Sector 79, Noida", 93.7 L
2321,1385,2,"Sector 79, Noida", 93.7 L
2322,1400,2,"Sector 79, Noida", 91 L
2323,1400,2,"Sector 79, Noida", 91 L
2324,2720,4,"Sector 79, Noida", 1.76 Cr
2325,2720,4,"Sector 79, Noida", 1.76 Cr
2326,1400,2,"Sector 79, Noida", 91 L
2327,1400,2,"Sector 79, Noida", 91 L
2328,2720,4,"Sector 79, Noida", 1.76 Cr
2329,2720,4,"Sector 79, Noida", 1.76 Cr
2330,1880,3,"Sector 79, Noida", 1.22 Cr
2331,1880,3,"Sector 79, Noida", 1.22 Cr
2332,1470,3,"Sector 77, Noida", 85.26 L
2333,1470,3,"Sector 77, Noida", 85.26 L
2334,2575,4,"Sector 79, Noida", 1.67 Cr
2335,2575,4,"Sector 79, Noida", 1.67 Cr
2336,1470,3,"Sector 77, Noida", 85.26 L
2337,1380,2,"Sector 79, Noida", 89.7 L
2338,1470,3,"Sector 77, Noida", 85.26 L
2339,1380,2,"Sector 79, Noida", 89.7 L
2340,1075,2,"Sector 77, Noida", 62.35 L
2341,1075,2,"Sector 77, Noida", 62.35 L
2342,1730,3,"Sector 79, Noida", 1.12 Cr
2343,1730,3,"Sector 79, Noida", 1.12 Cr
2344,990,2,"Sector 77, Noida", 57.42 L
2345,990,2,"Sector 77, Noida", 57.42 L
2346,1765,3,"Sector 77, Noida", 1.02 Cr
2347,1765,3,"Sector 77, Noida", 1.02 Cr
2348,1150,2,"Sector 77, Noida", 66.7 L
2349,1150,2,"Sector 77, Noida", 66.7 L
2350,1615,3,"Sector 77, Noida", 93.67 L
2351,1615,3,"Sector 77, Noida", 93.67 L
2352,1085,2,"Sector 77, Noida", 62.93 L
2353,1085,2,"Sector 77, Noida", 62.93 L
2354,1695,3,"Sector 77, Noida", 98.31 L
2355,1695,3,"Sector 77, Noida", 98.31 L
2356,1310,2,"Sector 77, Noida", 75.98 L
2357,1310,2,"Sector 77, Noida", 75.98 L
2358,1400,3,"Sector 77, Noida", 81.2 L
2359,1400,3,"Sector 77, Noida", 81.2 L
2360,2890,4,"Sector 79, Noida", 1.87 Cr
2361,2890,4,"Sector 79, Noida", 1.87 Cr
2362,1495,3,"Sector 79, Noida", 97.17 L
2363,1495,3,"Sector 79, Noida", 97.17 L
2364,2040,3,"Sector 94, Noida", 2.75 Cr
2365,1380,2,"Sector 94, Noida", 1.86 Cr
2366,800,1,"Sector 94, Noida", 1.16 Cr
2367,595,1,"Sector 94, Noida", 86.27 L
2368,1220,2,"Sector 94, Noida", 1.64 Cr
2369,3000,3,"Sector 94, Noida", 4.95 Cr
2370,1320,2,"Sector 94, Noida", 1.78 Cr
2371,560,1,"Sector 94, Noida", 81.2 L
2372,2105,3,"Sector 94, Noida", 2.84 Cr
2373,1607,3,"Sector 150, Noida", 1.05 Cr
2374,3260,4,"Sector 150, Noida", 2.13 Cr
2375,3131,4,"Sector 43, Noida", 3.8 Cr
2376,1340,3,"Sector 143, Noida", 93 L
2377,2563,3,"Sector 43, Noida", 3.1 Cr
2378,5643,5,"Sector 150, Noida", 4.5 Cr
2379,950,2,"Sector 77, Noida", 52 L
2380,1550,3,"Sector 78, Noida", 1.3 Cr
2381,1100,3,"Sector 150, Noida", 35 L
2382,1100,3,"Sector 150, Noida", 35 L
2383,1230,3,"Sector 150, Noida", 37.5 L
2384,2190,3,"Sector 150, Noida", 1.86 Cr
2385,2000,3,"Sector 150, Noida", 1.8 Cr
2386,1404,3,"Sector 150, Noida", 1.05 Cr
2387,849,2,"Sector 150, Noida", 1.08 Cr
2388,1903,4,"Sector 150, Noida", 1.99 Cr
2389,1303,2,"Sector 150, Noida", 85.8 L
2390,3000,4,"Sector 150, Noida", 2.16 Cr
2391,3500,4,"Sector 150, Noida", 1.76 Cr
2392,2450,3,"Sector 150, Noida", 1.51 Cr
2393,3650,4,"Sector 150, Noida", 2.24 Cr
2394,3685,4,"Sector 150, Noida", 2.11 Cr
2395,1404,3,"Sector 150, Noida", 1.05 Cr
2396,1285,3,"Sector 137, Noida", 51 L
2397,1070,2,"Sector 137, Noida", 39 L
2398,1592,3,"Sector 137, Noida", 64 L
2399,1695,3,"Sector 137, Noida", 68 L
2400,1410,3,"Sector 137, Noida", 57 L
2401,1950,3,"Sector 137, Noida", 78 L
2402,1725,3,"Sector 137, Noida", 69 L
2403,783,3,"Sector 150, Noida", 1.05 Cr
2404,783,3,"Sector 150, Noida", 1.05 Cr
2405,783,3,"Sector 150, Noida", 1.05 Cr
2406,783,3,"Sector 150, Noida", 1.05 Cr
2407,981,3,"Sector 150, Noida", 1.28 Cr
2408,981,3,"Sector 150, Noida", 1.28 Cr
2409,648,2,"Sector 150, Noida", 93.16 L
2410,648,2,"Sector 150, Noida", 93.16 L
2411,950,2,"Sector 45, Noida", 28 L
2412,4150,4,"Sector 94, Noida", 6.84 Cr
2413,1650,2,"Sector 94, Noida", 2.22 Cr
2414,3840,4,"Sector 94, Noida", 5.95 Cr
2415,1776,2,"Sector 94, Noida", 2.39 Cr
2416,1475,2,"Sector 94, Noida", 1.99 Cr
2417,3770,4,"Sector 94, Noida", 5.84 Cr
2418,10485,4,"Sector 94, Noida", 31.45 Cr
2419,645,1,"Sector 94, Noida", 93.52 L
2420,5410,3,"Sector 94, Noida", 16.22 Cr
2421,4060,3,"Sector 94, Noida", 12.17 Cr
2422,6550,4,"Sector 94, Noida", 10.8 Cr
2423,4955,4,"Sector 94, Noida", 6.68 Cr
2424,1825,2,"Sector 94, Noida", 2.46 Cr
2425,2880,3,"Sector 94, Noida", 4.75 Cr
2426,4850,3,"Sector 94, Noida", 8 Cr
2427,3900,4,"Sector 94, Noida", 6.43 Cr
2428,7520,4,"Sector 94, Noida", 12.4 Cr
2429,5400,4,"Sector 94, Noida", 7.29 Cr
2430,7490,4,"Sector 94, Noida", 22.46 Cr
2431,9950,4,"Sector 94, Noida", 16.41 Cr
2432,3120,3,"Sector 94, Noida", 5.14 Cr
2433,2380,4,"Sector 77, Noida", 1.7 Cr
2434,6000,5,"Sector 61, Noida", 6.25 Cr
2435,3500,4,"Sector 137, Noida", 3.1 Cr
2436,925,2,"Sector 137, Noida", 42 L
2437,1660,3,"Sector 137, Noida", 65 L
2438,1265,3,"Sector 137, Noida", 57 L
2439,1819,4,"Sector 150, Noida", 1.93 Cr
2440,1130,3,"Sector 150, Noida", 1.06 Cr
2441,1615,4,"Sector 150, Noida", 1.66 Cr
2442,1356,3,"Sector 150, Noida", 1.49 Cr
2443,1227,3,"Sector 150, Noida", 1.14 Cr
2444,1575,3,"Sector 150, Noida", 85.91 L
2445,1285,3,"Sector 150, Noida", 70.09 L
2446,1100,2,"Sector 150, Noida", 60 L
2447,1404,3,"Sector 150, Noida", 1.09 Cr
2448,1675,3,"Sector 150, Noida", 1.2 Cr
2449,925,2,"Sector 121, Noida", 24.99 L
2450,925,2,"Sector 121, Noida", 24.99 L
2451,1150,3,"Sector 121, Noida", 29.9 L
2452,925,2,"Sector 121, Noida", 24.99 L
2453,1200,3,"Sector 121, Noida", 32 L
2454,925,2,"Sector 121, Noida", 24.99 L
2455,925,2,"Sector 121, Noida", 24.99 L
2456,925,2,"Sector 121, Noida", 24.99 L
2457,925,2,"Sector 121, Noida", 24.99 L
2458,925,2,"Sector 121, Noida", 24.99 L
2459,1150,3,"Sector 121, Noida", 31.9 L
2460,1200,3,"Sector 121, Noida", 31.99 L
2461,1150,3,"Sector 121, Noida", 31.9 L
2462,1200,3,"Sector 121, Noida", 31.9 L
2463,1150,3,"Sector 121, Noida", 31.9 L
2464,925,2,"Sector 121, Noida", 24.99 L
2465,950,2,"Sector 121, Noida", 24.99 L
2466,925,2,"Sector 121, Noida", 24.99 L
2467,925,2,"Sector 121, Noida", 24.99 L
2468,925,2,"Sector 121, Noida", 24.99 L
2469,925,2,"Sector 121, Noida", 24.99 L
2470,925,2,"Sector 121, Noida", 24.99 L
2471,1150,3,"Sector 121, Noida", 31.9 L
2472,925,2,"Sector 121, Noida", 24.99 L
2473,925,2,"Sector 121, Noida", 24.99 L
2474,925,2,"Sector 121, Noida", 24.99 L
2475,925,2,"Sector 121, Noida", 24.99 L
2476,1615,3,"Sector 150, Noida", 1.2 Cr
2477,1096,2,"Sector 137, Noida", 67 L
2478,1096,2,"Sector 137, Noida", 67 L
2479,3200,4,"Sector 152, Noida", 2.15 Cr
2480,2350,3,"Sector 152, Noida", 1.6 Cr
2481,1850,3,"Sector 152, Noida", 1.27 Cr
2482,1245,2,"Sector 79, Noida", 81.75 L
2483,1245,2,"Sector 79, Noida", 81.75 L
2484,1245,2,"Sector 79, Noida", 81.75 L
2485,1245,2,"Sector 79, Noida", 81.75 L
2486,2335,4,"Sector 79, Noida", 1.57 Cr
2487,2335,4,"Sector 79, Noida", 1.57 Cr
2488,1645,3,"Sector 79, Noida", 1.06 Cr
2489,1645,3,"Sector 79, Noida", 1.06 Cr
2490,1470,3,"Sector 77, Noida", 85.26 L
2491,2715,5,"Sector 79, Noida", 1.87 Cr
2492,2715,5,"Sector 79, Noida", 1.87 Cr
2493,1075,2,"Sector 77, Noida", 62.35 L
2494,1895,3,"Sector 79, Noida", 1.23 Cr
2495,1895,3,"Sector 79, Noida", 1.23 Cr
2496,1470,3,"Sector 77, Noida", 85.26 L
2497,990,2,"Sector 77, Noida", 57.42 L
2498,1215,2,"Sector 79, Noida", 81.1 L
2499,1215,2,"Sector 79, Noida", 81.1 L
2500,1765,3,"Sector 77, Noida", 1.02 Cr
2501,1470,3,"Sector 77, Noida", 85.26 L
2502,1620,3,"Sector 79, Noida", 1.1 Cr
2503,1620,3,"Sector 79, Noida", 1.1 Cr
2504,1150,2,"Sector 77, Noida", 66.7 L
2505,1075,2,"Sector 77, Noida", 62.35 L
2506,1385,2,"Sector 79, Noida", 93.7 L
2507,1385,2,"Sector 79, Noida", 93.7 L
2508,1615,3,"Sector 77, Noida", 93.67 L
2509,990,2,"Sector 77, Noida", 57.42 L
2510,1085,2,"Sector 77, Noida", 62.93 L
2511,1765,3,"Sector 77, Noida", 1.02 Cr
2512,1150,2,"Sector 77, Noida", 66.7 L
2513,1695,3,"Sector 77, Noida", 98.31 L
2514,1310,2,"Sector 77, Noida", 75.98 L
2515,1615,3,"Sector 77, Noida", 93.67 L
2516,1085,2,"Sector 77, Noida", 62.93 L
2517,1695,3,"Sector 77, Noida", 98.31 L
2518,1310,2,"Sector 77, Noida", 75.98 L
2519,1400,3,"Sector 77, Noida", 81.2 L
2520,3200,4,"Sector 78, Noida", 2.56 Cr
2521,3200,4,"Sector 78, Noida", 2.56 Cr
2522,3200,4,"Sector 78, Noida", 2.56 Cr
2523,3200,4,"Sector 78, Noida", 2.56 Cr
2524,1900,3,"Sector 78, Noida", 1.06 Cr
2525,1900,3,"Sector 78, Noida", 1.06 Cr
2526,2925,4,"Sector 78, Noida", 2.34 Cr
2527,2925,4,"Sector 78, Noida", 2.34 Cr
2528,4900,5,"Sector 78, Noida", 3.92 Cr
2529,4900,5,"Sector 78, Noida", 3.92 Cr
2530,3700,5,"Sector 78, Noida", 2.96 Cr
2531,3700,5,"Sector 78, Noida", 2.96 Cr
2532,1650,3,"Sector 78, Noida", 92.4 L
2533,1650,3,"Sector 78, Noida", 92.4 L
2534,1290,2,"Sector 78, Noida", 72.24 L
2535,1290,2,"Sector 78, Noida", 72.24 L
2536,1690,3,"Sector 78, Noida", 94.64 L
2537,1690,3,"Sector 78, Noida", 94.64 L
2538,1250,2,"Sector 78, Noida", 70 L
2539,1250,2,"Sector 78, Noida", 70 L
2540,1825,3,"Sector 78, Noida", 1.02 Cr
2541,1825,3,"Sector 78, Noida", 1.02 Cr
2542,3250,4,"Sector 78, Noida", 2.6 Cr
2543,3250,4,"Sector 78, Noida", 2.6 Cr
2544,1480,3,"Sector 78, Noida", 82.88 L
2545,1480,3,"Sector 78, Noida", 82.88 L
2546,1550,3,"Sector 78, Noida", 86.8 L
2547,1550,3,"Sector 78, Noida", 86.8 L
2548,1150,2,"Sector 78, Noida", 64.4 L
2549,1150,2,"Sector 78, Noida", 64.4 L
2550,1350,2,"Sector 78, Noida", 75.6 L
2551,1350,2,"Sector 78, Noida", 75.6 L
2552,2070,3,"Sector 78, Noida", 1.15 Cr
2553,2070,3,"Sector 78, Noida", 1.15 Cr
2554,4075,5,"Sector 78, Noida", 3.26 Cr
2555,4075,5,"Sector 78, Noida", 3.26 Cr
2556,4150,4,"Sector 92, Noida", 3 Cr
2557,4500,8,"Sector 40, Noida", 3.6 Cr
2558,2488,3,"Yeida, Noida", 35 L
2559,3754,5,"Sector 43, Noida", 4.75 Cr
2560,4720,4,"Sector 79, Noida", 3.3 Cr
2561,3200,4,"Sector 150, Noida", 1.76 Cr
2562,2300,3,"Sector 150, Noida", 1.26 Cr
2563,1750,3,"Sector 150, Noida", 96.25 L
2564,1100,2,"Sector 43, Noida", 1.25 Cr
2565,5080,5,"Sector 76, Noida", 1.73 Cr
2566,700,2,"Sector 73, Noida", 32 L
2567,4400,4,"Sector 76, Noida", 1.5 Cr
2568,1922,3,"Sector 150, Noida", 96.25 L
2569,1050,2,"Sector 45, Noida", 35 L
2570,570,1,"Sector 45, Noida", 18 L
2571,560,1,"Sector 45, Noida", 17.25 L
2572,550,1,"Sector 45, Noida", 14.9 L
2573,550,1,"Sector 45, Noida", 19 L
2574,550,1,"Sector 45, Noida", 17 L
2575,560,1,"Sector 45, Noida", 15.5 L
2576,560,1,"Sector 45, Noida", 17.75 L
2577,550,1,"Sector 45, Noida", 18 L
2578,960,2,"Sector 45, Noida", 32 L
2579,1385,3,"Urbainia Trinity Noida Extension Yakubpur Noida, Noida", 60 L
2580,1100,2,"Sector 150, Noida", 66 L
2581,2700,4,"Sector 150, Noida", 2.14 Cr
2582,3027,4,"Sector 150, Noida", 2.39 Cr
2583,1325,3,"Sector 119, Noida", 60 L
2584,1325,3,"Sector 119, Noida", 62 L
2585,935,2,"Sector 43, Noida", 30.25 L
2586,940,2,"Sector 43, Noida", 29.9 L
2587,570,1,"Sector 45, Noida", 18 L
2588,970,2,"Sector 49, Noida", 35 L
2589,940,2,"Sector 73, Noida", 28 L
2590,950,2,"Sector 49, Noida", 35 L
2591,990,2,"Sector 43, Noida", 34.8 L
2592,950,2,"Sector 45, Noida", 30 L
2593,950,2,"Sector 45, Noida", 27.2 L
2594,555,1,"Sector 45, Noida", 15.5 L
2595,540,1,"Sector 45, Noida", 13.5 L
2596,510,1,"Sector 45, Noida", 12.75 L
2597,575,1,"Sector 45, Noida", 17.75 L
2598,560,1,"Sector 45, Noida", 20 L
2599,560,1,"Sector 45, Noida", 14 L
2600,950,2,"Sector 45, Noida", 34 L
2601,955,2,"Sector 73, Noida", 28.8 L
2602,960,2,"Sector 45, Noida", 32 L
2603,950,2,"Sector 73, Noida", 29 L
2604,950,2,"Sector 45, Noida", 27.5 L
2605,955,2,"Sector 45, Noida", 27.25 L
2606,920,2,"Sector 45, Noida", 27.5 L
2607,1000,2,"Sector 45, Noida", 28.5 L
2608,950,2,"Sector 45, Noida", 27.5 L
2609,1050,2,"Sector 45, Noida", 33 L
2610,980,2,"Sector 45, Noida", 35 L
2611,1050,2,"Sector 45, Noida", 33.5 L
2612,950,2,"Sector 73, Noida", 29 L
2613,1000,2,"Sector 43, Noida", 34.5 L
2614,1000,2,"Sector 43, Noida", 35 L
2615,551,1,"Sector 45, Noida", 15.75 L
2616,980,2,"Sector 44, Noida", 32 L
2617,940,2,"Sector 45, Noida", 32.8 L
2618,960,2,"Sector 45, Noida", 33 L
2619,955,2,"Sector 73, Noida", 28.5 L
2620,580,1,"Sector 45, Noida", 16.1 L
2621,950,2,"Sector 45, Noida", 27 L
2622,950,2,"Sector 45, Noida", 28 L
2623,940,2,"Sector 45, Noida", 28 L
2624,950,2,"Sector 73, Noida", 29 L
2625,940,2,"Sector 43, Noida", 30 L
2626,1045,2,"Sector 43, Noida", 35 L
